[limubert] device=cuda
[limubert] corpus: 188888 windows, shape (188888, 120, 6)
Epoch 148/250 : Average Loss 0.1431. Test Loss 0.1454
Epoch 149/250 : Average Loss 0.1457. Test Loss 0.1452
Epoch 150/250 : Average Loss 0.1504. Test Loss 0.1587
Epoch 151/250 : Average Loss 0.1474. Test Loss 0.1494
Epoch 152/250 : Average Loss 0.1453. Test Loss 0.1502
Epoch 153/250 : Average Loss 0.1472. Test Loss 0.1477
Epoch 154/250 : Average Loss 0.1502. Test Loss 0.1547
Epoch 155/250 : Average Loss 0.1453. Test Loss 0.1433
Epoch 156/250 : Average Loss 0.1460. Test Loss 0.1469
Epoch 157/250 : Average Loss 0.1456. Test Loss 0.1482
Epoch 158/250 : Average Loss 0.1463. Test Loss 0.1489
Epoch 159/250 : Average Loss 0.1479. Test Loss 0.1448
Epoch 160/250 : Average Loss 0.1478. Test Loss 0.1502
Epoch 161/250 : Average Loss 0.1483. Test Loss 0.1493
Epoch 162/250 : Average Loss 0.1435. Test Loss 0.1399
Epoch 163/250 : Average Loss 0.1444. Test Loss 0.1375
Epoch 164/250 : Average Loss 0.1444. Test Loss 0.1379
Epoch 165/250 : Average Loss 0.1449. Test Loss 0.1531
Epoch 166/250 : Average Loss 0.1452. Test Loss 0.1488
Epoch 167/250 : Average Loss 0.1446. Test Loss 0.1450
Epoch 168/250 : Average Loss 0.1444. Test Loss 0.1516
Epoch 169/250 : Average Loss 0.1467. Test Loss 0.1540
Epoch 170/250 : Average Loss 0.1453. Test Loss 0.1428
Epoch 171/250 : Average Loss 0.1420. Test Loss 0.1402
Epoch 172/250 : Average Loss 0.1470. Test Loss 0.1453
Epoch 173/250 : Average Loss 0.1456. Test Loss 0.1504
Epoch 174/250 : Average Loss 0.1444. Test Loss 0.1419
Epoch 175/250 : Average Loss 0.1437. Test Loss 0.1455
Epoch 176/250 : Average Loss 0.1431. Test Loss 0.1454
Epoch 177/250 : Average Loss 0.1427. Test Loss 0.1419
Epoch 178/250 : Average Loss 0.1440. Test Loss 0.1419
Epoch 179/250 : Average Loss 0.1461. Test Loss 0.1511
Epoch 180/250 : Average Loss 0.1457. Test Loss 0.1554
Epoch 181/250 : Average Loss 0.1422. Test Loss 0.1450
Epoch 182/250 : Average Loss 0.1434. Test Loss 0.1401
Epoch 183/250 : Average Loss 0.1423. Test Loss 0.1384
Epoch 184/250 : Average Loss 0.1450. Test Loss 0.1462
Epoch 185/250 : Average Loss 0.1421. Test Loss 0.1375
Epoch 186/250 : Average Loss 0.1399. Test Loss 0.1474
Epoch 187/250 : Average Loss 0.1442. Test Loss 0.1483
Epoch 188/250 : Average Loss 0.1435. Test Loss 0.1440
Epoch 189/250 : Average Loss 0.1440. Test Loss 0.1463
Epoch 190/250 : Average Loss 0.1458. Test Loss 0.1578
Epoch 191/250 : Average Loss 0.1460. Test Loss 0.1417
